,0,1
010010,CN0100100000000,"Autauga County, AL "
010030,CN0100300000000,"Baldwin County, AL "
010050,CN0100500000000,"Barbour County, AL "
010070,CN0100700000000,"Bibb County, AL "
010090,CN0100900000000,"Blount County, AL "
010110,CN0101100000000,"Bullock County, AL "
010130,CN0101300000000,"Butler County, AL "
010150,CN0101500000000,"Calhoun County, AL "
010170,CN0101700000000,"Chambers County, AL "
010190,CN0101900000000,"Cherokee County, AL "
010210,CN0102100000000,"Chilton County, AL "
010230,CN0102300000000,"Choctaw County, AL "
010250,CN0102500000000,"Clarke County, AL "
010270,CN0102700000000,"Clay County, AL "
010290,CN0102900000000,"Cleburne County, AL "
010310,CN0103100000000,"Coffee County, AL "
010330,CN0103300000000,"Colbert County, AL "
010350,CN0103500000000,"Conecuh County, AL "
010370,CN0103700000000,"Coosa County, AL "
010390,CN0103900000000,"Covington County, AL "
010410,CN0104100000000,"Crenshaw County, AL "
010430,CN0104300000000,"Cullman County, AL "
010450,CN0104500000000,"Dale County, AL "
010470,CN0104700000000,"Dallas County, AL "
010490,CN0104900000000,"DeKalb County, AL "
010510,CN0105100000000,"Elmore County, AL "
010530,CN0105300000000,"Escambia County, AL "
010550,CN0105500000000,"Etowah County, AL "
010570,CN0105700000000,"Fayette County, AL "
010590,CN0105900000000,"Franklin County, AL "
010610,CN0106100000000,"Geneva County, AL "
010630,CN0106300000000,"Greene County, AL "
010650,CN0106500000000,"Hale County, AL "
010670,CN0106700000000,"Henry County, AL "
010690,CN0106900000000,"Houston County, AL "
010710,CN0107100000000,"Jackson County, AL "
010730,CN0107300000000,"Jefferson County, AL "
010750,CN0107500000000,"Lamar County, AL "
010770,CN0107700000000,"Lauderdale County, AL "
010790,CN0107900000000,"Lawrence County, AL "
010810,CN0108100000000,"Lee County, AL "
010830,CN0108300000000,"Limestone County, AL "
010850,CN0108500000000,"Lowndes County, AL "
010870,CN0108700000000,"Macon County, AL "
010890,CN0108900000000,"Madison County, AL "
010910,CN0109100000000,"Marengo County, AL "
010930,CN0109300000000,"Marion County, AL "
010950,CN0109500000000,"Marshall County, AL "
010970,CN0109700000000,"Mobile County, AL "
010990,CN0109900000000,"Monroe County, AL "
011010,CN0110100000000,"Montgomery County, AL "
011030,CN0110300000000,"Morgan County, AL "
011050,CN0110500000000,"Perry County, AL "
011070,CN0110700000000,"Pickens County, AL "
011090,CN0110900000000,"Pike County, AL "
011110,CN0111100000000,"Randolph County, AL "
011130,CN0111300000000,"Russell County, AL "
011150,CN0111500000000,"St. Clair County, AL "
011170,CN0111700000000,"Shelby County, AL "
011190,CN0111900000000,"Sumter County, AL "
011210,CN0112100000000,"Talladega County, AL "
011230,CN0112300000000,"Tallapoosa County, AL "
011250,CN0112500000000,"Tuscaloosa County, AL "
011270,CN0112700000000,"Walker County, AL "
011290,CN0112900000000,"Washington County, AL "
011310,CN0113100000000,"Wilcox County, AL "
011330,CN0113300000000,"Winston County, AL "
020130,CN0201300000000,"Aleutians East Borough, AK "
020160,CN0201600000000,"Aleutians West Census Area, AK "
020200,CN0202000000000,"Anchorage Borough/municipality, AK "
020500,CN0205000000000,"Bethel Census Area, AK "
